,,Animal-based,Plant-based
Protein,count,80.0,135.0
Protein,mean,16.777875,7.593703703703705
Protein,std,11.083201303026925,9.894519392877603
Protein,min,0.0,0.48
Protein,25%,10.925,0.969
Protein,50%,16.6,2.41
Protein,75%,20.4,9.035
Protein,max,79.9,51.1
Fat,count,80.0,135.0
Fat,mean,14.196875,5.92042962962963
Fat,std,16.919201871961256,16.045102302218822
Fat,min,0.0,0.0
Fat,25%,0.76775,0.185
Fat,50%,7.715,0.398
Fat,75%,25.375,1.28
Fat,max,82.2,73.3
Carbs,count,80.0,135.0
Carbs,mean,2.8198,12.144370370370371
Carbs,std,4.324149332893645,14.72802347680923
Carbs,min,0.0,1.2
Carbs,25%,0.06,4.155
Carbs,50%,1.885,6.38
Carbs,75%,4.470000000000001,16.25
Carbs,max,32.5,87.3
Fiber,count,80.0,135.0
Fiber,mean,0.0075,3.556740740740741
Fiber,std,0.06708203932499368,3.549668561284222
Fiber,min,0.0,0.0
Fiber,25%,0.0,1.48
Fiber,50%,0.0,2.71
Fiber,75%,0.0,4.359999999999999
Fiber,max,0.6,24.3
Calories,count,80.0,135.0
Calories,mean,207.575,131.45216296296297
Calories,std,160.85035855757755,185.61168119218186
Calories,min,34.0,8.768
Calories,25%,80.375,27.3
Calories,50%,156.5,44.0
Calories,75%,323.0,127.1
Calories,max,739.8000000000001,750.0
Calcium,count,80.0,135.0
Calcium,mean,188.5015,64.74054814814815
Calcium,std,300.87573862209695,72.7384053516454
Calcium,min,0.0,0.0
Calcium,25%,10.23,15.65
Calcium,50%,58.1,39.8
Calcium,75%,140.75,73.69999999999999
Calcium,max,1500.0,338.0
Iron,count,80.0,135.0
Iron,mean,0.6551499999999999,1.8536814814814815
Iron,std,1.426516240640157,2.3718589681836084
Iron,min,0.0,0.0
Iron,25%,0.0,0.2735
Iron,50%,0.17099999999999999,0.73
Iron,75%,0.5814999999999999,2.4400000000000004
Iron,max,9.28,12.0
Vitamin B12,count,80.0,135.0
Vitamin B12,mean,0.9232500000000001,0.012762962962962964
Vitamin B12,std,1.6988183868184394,0.11911860434710903
Vitamin B12,min,0.0,0.0
Vitamin B12,25%,0.0,0.0
Vitamin B12,50%,0.565,0.0
Vitamin B12,75%,1.2025,0.0
Vitamin B12,max,12.6,1.33
